브랜드,상품명,가격,가격대,옵션명,옵션혜택,리뷰내용,정제리뷰,키워드토큰문자열,리뷰평점,도움돼요구간,도움돼요점수,사진여부,리뷰글자수,리뷰단어수,리뷰군집,페르소나,주요관심사,대표키워드,메시지 방향,긍정신호여부,부정신호여부,쿨링감언급여부,향언급여부,두피언급여부,자극언급여부,가격구성언급여부,강한쿨링긍정여부,쿨링지속긍정여부,쿨링지속아쉬움여부,약한쿨링부족여부,민감자극회피여부
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,쿨링,일반,분사해서 바로 사용할 수 있어 편하고 사용 후 발이 산뜻했습니다. 쿨링감도 좋아 여름에 특히 쓰기 괜찮았어요.,분사해서 바로 사용할 수 있어 편하고 사용 후 발이 산뜻했습니다 쿨링감도 좋아 여름에 특히 쓰기 괜찮았어요,"분사해서, 사용할, 있어, 산뜻했, 좋아, 여름, 특히, 괜찮았",5,매우 높음,4,False,61,16,0,청량감 즉시 체감형,쿨링/열감,"여름, 사용하기, 거품, 있어서, 열감, 구매했, 시원해서, 용량, 시원한, 좋아, 쿨링제품, 사용할",시원함·개운함·상쾌함을 사용 직후 체감 언어로 제시,1,0,1,0,0,0,0,1,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,쿨링,일반,분사해서 바로 사용할 수 있어 정말 편했습니다. 사용 후 발이 산뜻해지는 느낌이 있고 향도 시원해서 만족했어요.,분사해서 바로 사용할 수 있어 정말 편했습니다 사용 후 발이 산뜻해지는 느낌이 있고 향도 시원해서 만족했어요,"분사해서, 사용할, 있어, 편했, 산뜻해지, 있고, 시원해서, 만족",5,매우 높음,4,False,62,16,1,실속 편의 탐색형,가격/구성/편의,"사용하기, 쓰고, 냄새, 않고, 드라이샴푸, 세정력, 지성, 있어서, 드라, 가루, 없어서, 재구매","용량 대비 가격, 구성 혜택, 사용 편의, 재구매 부담 감소를 전면에 배치",1,0,1,1,0,0,0,0,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,비누향,일반,발 씻을때 일반 비누보다 사용하기 편하고 향도 좋아서 늘 이것만 씁니다~,발 씻을때 일반 비누보다 사용하기 편하고 향도 좋아서 늘 이것만 씁니다,"씻을때, 일반, 비누, 사용하기, 이것만, 씁니다",5,매우 높음,4,False,40,11,1,실속 편의 탐색형,가격/구성/편의,"사용하기, 쓰고, 냄새, 않고, 드라이샴푸, 세정력, 지성, 있어서, 드라, 가루, 없어서, 재구매","용량 대비 가격, 구성 혜택, 사용 편의, 재구매 부담 감소를 전면에 배치",1,0,0,1,0,0,0,0,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,레몬,일반,남편이랑 매일 쓰고 있어요!! 레몬향이라 상큼하고 저희는 욕실용세제로도 아주 잘 쓰고 있어요!! 거품도 잘 나서 만능템입니다....❤️,남편이랑 매일 쓰고 있어요 레몬향이라 상큼하고 저희는 욕실용세제로도 아주 잘 쓰고 있어요 거품도 잘 나서 만능템입니다,"남편이랑, 매일, 쓰고, 레몬향, 상큼, 저희, 욕실용세제, 쓰고, 거품, 나서, 만능템",5,매우 높음,4,True,75,16,1,실속 편의 탐색형,가격/구성/편의,"사용하기, 쓰고, 냄새, 않고, 드라이샴푸, 세정력, 지성, 있어서, 드라, 가루, 없어서, 재구매","용량 대비 가격, 구성 혜택, 사용 편의, 재구매 부담 감소를 전면에 배치",1,0,0,1,0,0,0,0,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,레몬,일반,하필 대용량인데 레몬을 2통이나 구매해서ㅠ 너무 후회됩니다. 그냥 쓰던 복숭아향을 살껄...향이 바뀐건지 상큼한 레몬향이 아니고 너무 찐한 머스크향에 인공적인 레몬향이 나서 역해요... 청소도하고 발에도 쓰려고 산건데 향이 너무 역해서 후회됩니다. 다음엔 무조건 레몬은 안사려구요...향에 민감한분들은 꼭 참고하세요.,하필 대용량인데 레몬을 2통이나 구매해서 너무 후회됩니다 그냥 쓰던 복숭아향을 살껄 향이 바뀐건지 상큼한 레몬향이 아니고 너무 찐한 머스크향에 인공적인 레몬향이 나서 역해요 청소도하고 발에도 쓰려고 산건데 향이 너무 역해서 후회됩니다 다음엔 무조건 레몬은 안사려구요 향에 민감한분들은 꼭 참고하세요,"하필, 대용량인데, 레몬, 2통이나, 구매해서, 후회됩니다, 쓰던, 복숭아향, 살껄, 바뀐건지, 상큼한, 레몬향, 아니고, 찐한, 머스크향, 인공적인, 레몬향, 나서, 청소, 쓰려고, 산건데, 역해서, 후회됩니다, 다음엔, 무조건, 레몬, 안사려, 민감한분들, 참고하세요",2,매우 높음,4,True,177,37,1,실속 편의 탐색형,가격/구성/편의,"사용하기, 쓰고, 냄새, 않고, 드라이샴푸, 세정력, 지성, 있어서, 드라, 가루, 없어서, 재구매","용량 대비 가격, 구성 혜택, 사용 편의, 재구매 부담 감소를 전면에 배치",1,1,0,1,0,1,1,0,0,0,0,1
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,쿨링,일반,"발을씻자 향 중에는 자몽향을 제일 선호하고 자주 쓰는데 할인하고 살때쯤에는 이미 쿨링빼고 다 품절ㅜ 쿨링도 이미 써봤지만 쿨링이라고 뭐가 더 시원한지는 잘 모르겠음..거품도 풍성하게 잘 나고 발을씻자 제품력이야 몇년째 사용할만큼 좋습니다, 무엇보다 편리하다보니 계속해서 쓰는중ㅎ 발에 칙칙뿌려서 비비고 끝ㅎ",발을씻자 향 중에는 자몽향을 제일 선호하고 자주 쓰는데 할인하고 살때쯤에는 이미 쿨링빼고 다 품절 쿨링도 이미 써봤지만 쿨링이라고 뭐가 더 시원한지는 잘 모르겠음 거품도 풍성하게 잘 나고 발을씻자 제품력이야 몇년째 사용할만큼 좋습니다 무엇보다 편리하다보니 계속해서 쓰는중 발에 칙칙뿌려서 비비고 끝,"발을씻자, 자몽향, 선호, 자주, 할인, 살때쯤, 이미, 쿨링빼고, 품절, 이미, 써봤지만, 쿨링이라고, 시원한지, 모르겠음, 거품, 풍성하게, 나고, 발을씻자, 제품력이야, 몇년째, 사용할만큼, 무엇, 편리하다보니, 계속해서, 쓰는중, 칙칙뿌려서, 비비고",5,매우 높음,4,True,171,39,2,세정감 꼼꼼 확인형,세정/거품,"거품, 세정력, 풍성하게, 샴푸바, 나고, 나서, 풍성, 생각, 좋았, 세정, 오래, 꾸준히",풍성한 거품·세정력·감은 뒤 머릿결을 실제 사용 장면으로 보여주기,1,0,1,1,0,0,1,0,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,쿨링,일반,날이 더워지면서 발 냄새도 신경 쓰여 냉큼 쿨링 옵션으로 선택 했어요 씻을 때마다 발끝부터 시원한 개운함이 싹 올라오는데 외출하고 돌아와서 이걸로 발 닦아주면 하루 피로가 다 날아가는 기분이에요. 거품도 풍성하게 잘 나고 역시 풋샴푸계의 👍🏻 대용량이라 이번 여름 내내 아끼지 않고 팍팍 쓸 수 있어서 든든해요,날이 더워지면서 발 냄새도 신경 쓰여 냉큼 쿨링 옵션으로 선택 했어요 씻을 때마다 발끝부터 시원한 개운함이 싹 올라오는데 외출하고 돌아와서 이걸로 발 닦아주면 하루 피로가 다 날아가는 기분이에요 거품도 풍성하게 잘 나고 역시 풋샴푸계의 대용량이라 이번 여름 내내 아끼지 않고 팍팍 쓸 수 있어서 든든해요,"더워지면서, 냄새, 신경, 쓰여, 냉큼, 옵션, 선택, 때마다, 발끝, 시원한, 개운함, 올라오, 외출, 돌아와서, 이걸, 닦아주면, 하루, 날아, 기분이에요, 거품, 풍성하게, 나고, 역시, 풋샴푸계, 대용량, 여름, 내내, 아끼지, 않고, 팍팍, 있어서, 든든",5,매우 높음,4,True,173,46,1,실속 편의 탐색형,가격/구성/편의,"사용하기, 쓰고, 냄새, 않고, 드라이샴푸, 세정력, 지성, 있어서, 드라, 가루, 없어서, 재구매","용량 대비 가격, 구성 혜택, 사용 편의, 재구매 부담 감소를 전면에 배치",1,0,1,1,0,0,1,0,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,레몬,일반,칙칙 뿌려주면 심하게 나던 발냄새가 싹 사라집니다. 짱짱짱,칙칙 뿌려주면 심하게 나던 발냄새가 싹 사라집니다 짱짱짱,"칙칙, 뿌려주면, 심하게, 나던, 발냄새, 사라집니다, 짱짱짱",5,매우 높음,4,False,32,8,1,실속 편의 탐색형,가격/구성/편의,"사용하기, 쓰고, 냄새, 않고, 드라이샴푸, 세정력, 지성, 있어서, 드라, 가루, 없어서, 재구매","용량 대비 가격, 구성 혜택, 사용 편의, 재구매 부담 감소를 전면에 배치",0,0,0,1,0,0,0,0,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,비누향,일반,온더바디 발을씻자 코튼 풋샴푸 비누향은 풍성한 거품으로 발을 깨끗하게 씻을 수 있어 만족스러웠습니다 비누향이 은은하게 남아 사용 후 상쾌한 기분이 오래 이어졌습니다,온더바디 발을씻자 코튼 풋샴푸 비누향은 풍성한 거품으로 발을 깨끗하게 씻을 수 있어 만족스러웠습니다 비누향이 은은하게 남아 사용 후 상쾌한 기분이 오래 이어졌습니다,"온더바디, 발을씻자, 코튼, 풋샴푸, 비누향, 풍성한, 거품, 깨끗하게, 있어, 만족스러웠, 비누향, 은은하게, 남아, 상쾌한, 기분, 오래, 이어졌",5,매우 높음,4,False,91,22,2,세정감 꼼꼼 확인형,세정/거품,"거품, 세정력, 풍성하게, 샴푸바, 나고, 나서, 풍성, 생각, 좋았, 세정, 오래, 꾸준히",풍성한 거품·세정력·감은 뒤 머릿결을 실제 사용 장면으로 보여주기,1,0,1,1,0,0,0,0,0,0,0,0
온더바디,온더바디 발을씻자 코튼 풋샴푸 리필 500ml 4종 택1 (레몬/자몽/쿨링/비누향),5950,1만원 미만,쿨링,일반,나❤️발을 씻자 발도 씻고 얼룩도 지우고 청소도 합니다... 집에 없으면 안 됨. 🔒 생리혈 지우기 좋아요,나 발을 씻자 발도 씻고 얼룩도 지우고 청소도 합니다 집에 없으면 안 됨 생리혈 지우기 좋아요,"씻자, 씻고, 얼룩, 지우고, 청소, 없으면, 생리혈, 지우기",5,매우 높음,4,False,59,16,1,실속 편의 탐색형,가격/구성/편의,"사용하기, 쓰고, 냄새, 않고, 드라이샴푸, 세정력, 지성, 있어서, 드라, 가루, 없어서, 재구매","용량 대비 가격, 구성 혜택, 사용 편의, 재구매 부담 감소를 전면에 배치",0,0,0,0,0,0,0,0,0,0,0,0
온더바디,[NEW 2세대] 온더바디 발을씻자 코튼 풋샴푸 대용량 510ml 4종 택1(복숭아/레몬/쿨링/자몽),6400,1만원 미만,OY단독 복숭아,일반,매일 발 닦을때 쓰고 있어요 발이 상쾌하고 냄새도 안나요복숭아 향 신상이라 구매했는데 상큼해서 좋아요,매일 발 닦을때 쓰고 있어요 발이 상쾌하고 냄새도 안나요복숭아 향 신상이라 구매했는데 상큼해서 좋아요,"매일, 닦을때, 쓰고, 상쾌, 냄새, 안나요복숭아, 신상, 구매했, 상큼해서",5,매우 높음,4,True,56,14,1,실속 편의 탐색형,가격/구성/편의,"사용하기, 쓰고, 냄새, 않고, 드라이샴푸, 세정력, 지성, 있어서, 드라, 가루, 없어서, 재구매","용량 대비 가격, 구성 혜택, 사용 편의, 재구매 부담 감소를 전면에 배치",1,0,1,1,0,0,0,0,0,0,0,0
온더바디,[NEW 2세대] 온더바디 발을씻자 코튼 풋샴푸 대용량 510ml 4종 택1(복숭아/레몬/쿨링/자몽),6400,1만원 미만,자몽,일반,"발을씻자 코튼 풋샴푸 자몽향은 발 세정을 간편하게 할 수 있어 꾸준히 손이 가는 제품이에요. 풍성한 거품이 발 구석구석을 깔끔하게 씻어주고, 세정 후에는 상쾌한 자몽 향이 은은하게 남아 기분까지 산뜻해집니다. 특히 운동 후나 장시간 외출한 날 사용하면 발의 찝찝함을 말끔하게 씻어내는 느낌이 들어 만족스러웠어요. 대용량 510ml라 넉넉하게 사용할 수 있고, 분사형 타입이라 허리를 숙이지 않고도 편리하게 사용할 수 있어 실용적인 풋케어 제품으로 추천합니다.",발을씻자 코튼 풋샴푸 자몽향은 발 세정을 간편하게 할 수 있어 꾸준히 손이 가는 제품이에요 풍성한 거품이 발 구석구석을 깔끔하게 씻어주고 세정 후에는 상쾌한 자몽 향이 은은하게 남아 기분까지 산뜻해집니다 특히 운동 후나 장시간 외출한 날 사용하면 발의 찝찝함을 말끔하게 씻어내는 느낌이 들어 만족스러웠어요 대용량 510ml라 넉넉하게 사용할 수 있고 분사형 타입이라 허리를 숙이지 않고도 편리하게 사용할 수 있어 실용적인 풋케어 제품으로 추천합니다,"발을씻자, 코튼, 풋샴푸, 자몽향, 세정, 간편하게, 있어, 꾸준히, 제품이에요, 풍성한, 거품, 구석구석, 깔끔하게, 씻어주고, 세정, 상쾌한, 자몽, 은은하게, 남아, 기분, 산뜻해집니다, 특히, 운동, 후나, 장시간, 외출한, 찝찝함, 말끔하게, 씻어내, 들어, 만족스러웠, 대용량, 510ml라, 넉넉하게, 사용할, 있고, 분사형, 타입, 허리, 숙이지, 않고, 편리하게, 사용할, 있어, 실용적인, 풋케어",5,매우 높음,4,False,256,62,2,세정감 꼼꼼 확인형,세정/거품,"거품, 세정력, 풍성하게, 샴푸바, 나고, 나서, 풍성, 생각, 좋았, 세정, 오래, 꾸준히",풍성한 거품·세정력·감은 뒤 머릿결을 실제 사용 장면으로 보여주기,1,0,1,1,0,0,1,0,0,0,0,0
온더바디,[NEW 2세대] 온더바디 발을씻자 코튼 풋샴푸 대용량 510ml 4종 택1(복숭아/레몬/쿨링/자몽),6400,1만원 미만,자몽,일반,좋아요 자몽향 좋아요 다른향 써보고싶은데 자몽 좋아서 계속 자몽만 샀어요 ㅋㅋ 다른 것도 써봐여겠어요 어쨌든 냄새 없애줘서 너무 좋습니당,좋아요 자몽향 좋아요 다른향 써보고싶은데 자몽 좋아서 계속 자몽만 샀어요 다른 것도 써봐여겠어요 어쨌든 냄새 없애줘서 너무 좋습니당,"자몽향, 다른향, 써보고싶은데, 자몽, 자몽만, 다른, 써봐여겠, 어쨌든, 냄새, 없애줘서, 좋습니당",5,매우 높음,4,True,76,19,1,실속 편의 탐색형,가격/구성/편의,"사용하기, 쓰고, 냄새, 않고, 드라이샴푸, 세정력, 지성, 있어서, 드라, 가루, 없어서, 재구매","용량 대비 가격, 구성 혜택, 사용 편의, 재구매 부담 감소를 전면에 배치",1,0,0,1,0,0,0,0,0,0,0,0
